latitude,longitude,weights
-34.9054239,138.5625029,498250
-34.8722171,138.496221,776500
-34.86349,138.4862231,600000
-34.881,138.535,538000
-34.863,138.538,335000
-34.882142,138.5449867,531500
-34.881,138.535,485000
-34.8828,138.5258,454000
-34.6383421,138.7661021,0
-34.616111,138.731667,310000
-34.624,138.722,292000
-34.62893,138.74885,330000
-34.64552,138.72758,417000
-34.5973516,138.7448796,325000
-34.60192,138.76469,355000
-34.611,138.751,276000
-34.6037,138.73404,206250
-34.625,138.696,0
-34.6438424,138.7040858,0
-34.59919,138.72957,355000
-34.6776509,138.7453293,0
-34.591,138.744,310000
-35.019,138.52,855000
-34.982,138.516,948750
-34.986,138.523,650000
-34.971,138.517,552000
-34.9886456,138.514972,610000
-35.009,138.522,683250
-35.0376785,138.5174726,600000
-35.004515,138.522148,560500
-35.033333,138.516667,755750
-35.031,138.532,515000
-34.99541,138.521461,712500
-35.024514,138.523564,508500
-34.988318,138.559096,405000
-35.021,138.568,416500
-34.9999023,138.5717982,486500
-35.03,138.557,477500
-35.025,138.538,450000
-34.98,138.571,432500
-34.96,138.566,585000
-34.983333,138.533333,571000
-35.077,138.502,430000
-35.106587,138.4937213,0
-35.0497245,138.5162223,710500
-35,138.552,472250
-35.011,138.562,416000
-34.989,138.539,482000
-35.014,138.545,433500
-35.064,138.553,352300
-34.994,138.557,425000
-34.976944,138.551389,490250
-35.031,138.532,515000
-35.026,138.545,426500
-35.034,138.549,480000
-35.034,138.536,460000
-35.081294,138.5262256,411000
-34.977,138.556,445000
-35.0235516,138.5549953,396500
-35.0146,138.571,0
-35.065,138.541,350000
-35.007,138.538,512500
-35.021,138.568,416500
-34.998118,138.62254,595000
-35.033,138.587,450000
-35.022684,138.6163371,530000
-34.987,138.653,0
-34.99,138.603,592500
-34.972,138.578,555500
-34.9823579,138.5962997,615000
-35.0476306,138.6213476,467500
-34.9934589,138.6840168,577000
-35.04119,138.60515,642500
-34.973633,138.5862837,643500
-34.981,138.588,535000
-35.027,138.601,490000
-35.0131071,138.6263585,470500
-34.968,138.6,827450
-35.02,138.631,434000
-34.971,138.616,1080000
-34.9677,138.671,0
-34.981111,138.605833,721500
-34.998,138.609,690000
-34.99,138.576,547500
-34.987,138.625,650000
-34.972,138.627,1145000
-34.995,138.597,541000
-35.002,138.59,482500
-34.978,138.631,0
-35.006,138.577,0
-34.986,138.616,765000
-35.015,138.686,500000
-34.967,138.636,1150000
-34.969722,138.595833,680000
-34.913,138.622,1500000
-34.905,138.635,727500
-34.891,138.644,535000
-34.9037874,138.6526734,515000
-34.8969137,138.6526734,515500
-34.917,138.616,875000
-34.931,138.648,1500000
-34.899,138.625,775000
-34.924,138.645,755000
-34.920278,138.619167,0
-34.896389,138.639167,411000
-34.927778,138.646944,781000
-34.911,138.637,1250000
-34.923,138.633,900000
-34.899,138.642,556500
-34.905,138.646,581250
-34.899,138.634,780000
-34.91088,138.65398,0
-34.903,138.622,0
-34.912,138.629,655000
-34.91111,138.64453,590000
-35.067,138.6,361250
-35.267,138.483,0
-35.281,138.454,333000
-35.1654325,138.6153977,0
-35.087538,138.623853,552000
-35.0715089,138.6584766,0
-35.1281692,138.496221,239000
-35.1335313,138.476227,305000
-35.1054491,138.6297435,0
-35.0451047,138.6539268,0
-35.0476306,138.6213476,467500
-35.04119,138.60515,642500
-35.03,138.557,477500
-35.0858138,138.6777686,0
-35.05,138.583333,435000
-35.158916,138.5262256,250000
-35.143,138.514,263000
-35.077,138.502,430000
-35.083,138.567,350000
-35.155,138.518,236000
-35.05,138.683333,0
-35.1474667,138.6403068,405500
-35.106587,138.4937213,0
-35.2301549,138.4837239,424707
-35.2053048,138.5891838,485000
-35.2210309,138.5461247,465000
-35.198,138.473,390750
-35.118,138.529,290000
-35.14,138.493,0
-35.148,138.502,325000
-35.064,138.553,352300
-35.180847,138.502658,582500
-35.0966681,138.541234,340000
-35.1432538,138.5428373,496000
